"Utility.ID","Plant.Code","Prime.Mover","Energy.Source.1","Technology","Nameplate.Capacity","Operating.Year.avg","Operating.Year.max","Operating.Year.min","Net.Generation..Megawatthours.","cap_fac"
10000,1241,"ST","SUB","Conventional Steam Coal",1578,1975,1977,1973,7933023.1,0.573888621224485
10000,2079,"CA","NG","Natural Gas Fired Combined Cycle",146,2000,2000,2000,12726,0.00995027209607806
10000,2079,"CT","NG","Natural Gas Fired Combined Cycle",176,1997,1997,1997,45462,0.0294870797011208
10000,2079,"GT","NG","Natural Gas Fired Combustion Turbine",154,2000,2000,2000,41833,0.0310094585779517
10000,2079,"ST","SUB","Conventional Steam Coal",594.3,1969,1969,1969,2583399.5,0.496228535624199
10000,2080,"ST","SUB","Conventional Steam Coal",376,1962,1964,1960,721378.73,0.219013750242883
10000,2081,"GT","DFO","Petroleum Liquids",484,1975,1977,1972,0,0
10000,2081,"IC","DFO","Petroleum Liquids",2,1985,1985,1985,1317,0.0751712328767123
10000,56351,"WT","WND","Onshore Wind Turbine",148.5,2008,2010,2006,408557,0.314066848085113
10000,59772,"BA","MWH","Batteries",1,2012,2012,2012,0,0
10000,6065,"ST","SUB","Conventional Steam Coal",1640,1995,2010,1980,9738811.1,0.677888065207707
10000,7928,"GT","NG","Natural Gas Fired Combustion Turbine",90,2003,2003,2003,1375,0.00174403855910705
10000,7929,"GT","NG","Natural Gas Fired Combustion Turbine",365.2,2003,2003,2003,12166,0.00380288276393244
10004,50329,"IC","OBG","Other Waste Biomass",4.6,2012,2012,2012,15744,0.390708755211435
10005,1240,"GT","NG","Natural Gas Fired Combustion Turbine",375.1,2000.33333333333,2001,2000,107413,0.0326893041612039
10005,1240,"IC","DFO","Petroleum Liquids",2.9,1969,1969,1969,22,0.00086600535348764
10005,1240,"ST","NG","Natural Gas Steam Turbine",526,1964,1967,1961,227396,0.0493506606246853
10005,1242,"ST","NG","Natural Gas Steam Turbine",228,1957.5,1959,1956,75912,0.0380076904590243
10023,2500,"CA","NG","Natural Gas Fired Combined Cycle",80,2003,2003,2003,477544.95,0.681428296232877
10023,2500,"CT","NG","Natural Gas Fired Combined Cycle",170,2003,2003,2003,1085604,0.728984689766317
10023,2500,"GT","NG","Natural Gas Fired Combustion Turbine",523,1968.875,1969,1967,18931.098,0.00413209224966605
10023,2500,"ST","NG","Natural Gas Steam Turbine",1827,1963.66666666667,1965,1963,3613263.8,0.225765208828506
10035,59045,"IC","NG","Natural Gas Internal Combustion Engine",27.6,2014,2014,2014,6392,0.0264376943948117
10046,55809,"WT","WND","Onshore Wind Turbine",1.5,2001,2001,2001,3684,0.280365296803653
